Episode,Reward,Steps,Loss,Avg_Q,Epsilon,Success,Collision,Termination,Obstacle_Count
167,-10.0,34,14.291740417480469,2.562715530395508,0.6072902096189046,0,1,Collision,8
168,-16.0,22,4.710921287536621,8.81519889831543,0.6054683389900478,0,1,Collision,8
169,-15.0,12,11.120986938476562,7.396642684936523,0.6036519339730777,0,1,Collision,8
170,-27.0,28,7.589500427246094,10.242971420288086,0.6018409781711584,0,1,Collision,8
171,-20.0,11,3.4585788249969482,11.760039329528809,0.6000354552366449,0,1,Collision,8
172,-12.0,14,14.362689971923828,9.828956604003906,0.598235348870935,0,1,Collision,8
173,-18.0,13,8.614106178283691,3.3496203422546387,0.5964406428243222,0,1,Collision,8
174,-13.0,21,5.549801826477051,3.1534061431884766,0.5946513208958493,0,1,Collision,8
175,-16.0,6,13.096015930175781,11.525644302368164,0.5928673669331617,0,1,Collision,8
176,-14.0,10,8.007367134094238,4.605680465698242,0.5910887648323622,0,1,Collision,8
177,-20.0,45,7.323482513427734,11.283754348754883,0.5893154985378651,0,1,Collision,8
178,-16.0,43,16.286178588867188,11.089452743530273,0.5875475520422515,0,1,Collision,8
179,-19.0,12,10.136323928833008,-1.1513845920562744,0.5857849093861247,0,1,Collision,8
180,67.0,24,5.345823287963867,4.287586212158203,0.5840275546579663,1,0,Success,8
181,-10.0,7,12.055733680725098,12.555219650268555,0.5822754719939924,0,1,Collision,8
182,-7.0,29,5.392158508300781,-3.194521427154541,0.5805286455780104,0,1,Collision,8
183,-18.0,54,6.947707176208496,5.701871871948242,0.5787870596412764,0,1,Collision,8
184,-11.0,16,3.863389015197754,7.754961013793945,0.5770506984623526,0,1,Collision,8
185,-13.0,31,22.34734535217285,12.391642570495605,0.5753195463669655,0,1,Collision,8
186,-22.0,20,10.502586364746094,1.7600343227386475,0.5735935877278646,0,1,Collision,8
187,-10.0,19,15.15796184539795,7.798121452331543,0.571872806964681,0,1,Collision,8
188,-23.0,16,6.876581192016602,-3.8125667572021484,0.5701571885437869,0,1,Collision,8
189,-18.0,17,3.833015203475952,2.3847148418426514,0.5684467169781556,0,1,Collision,8
190,-19.0,24,8.733088493347168,3.932483434677124,0.5667413768272211,0,1,Collision,8
191,-11.0,36,19.225492477416992,9.935667037963867,0.5650411526967395,0,1,Collision,8
192,-6.0,15,9.172404289245605,12.977465629577637,0.5633460292386493,0,1,Collision,8
193,-19.0,9,14.103239059448242,12.980306625366211,0.5616559911509333,0,1,Collision,8
194,-19.0,22,26.3749942779541,13.088897705078125,0.5599710231774805,0,1,Collision,8
195,-20.0,40,17.92487335205078,11.776689529418945,0.5582911101079481,0,1,Collision,8
196,-19.0,44,14.835180282592773,7.3025031089782715,0.5566162367776242,0,1,Collision,8
197,-20.0,13,27.34482765197754,9.609973907470703,0.5549463880672914,0,1,Collision,8
198,-16.0,33,9.720398902893066,9.349650382995605,0.5532815489030894,0,1,Collision,8
199,-14.0,27,4.070501804351807,2.731224536895752,0.5516217042563801,0,1,Collision,8
200,-4.0,21,12.06901741027832,13.669280052185059,0.549966839143611,0,1,Collision,8
201,65.0,47,9.469271659851074,13.570476531982422,0.5483169386261801,1,0,Success,8
202,-11.0,15,6.219730854034424,12.564437866210938,0.5466719878103016,0,1,Collision,8
203,69.0,34,10.010619163513184,14.446184158325195,0.5450319718468707,1,0,Success,8
204,-12.0,24,24.51634979248047,8.562338829040527,0.5433968759313301,0,1,Collision,8
205,-9.0,13,32.42737579345703,12.272357940673828,0.5417666853035361,0,1,Collision,8
206,-14.0,5,20.568300247192383,11.98559856414795,0.5401413852476254,0,1,Collision,8
207,-14.0,10,27.121009826660156,6.578951835632324,0.5385209610918825,0,1,Collision,8
208,-19.0,26,3.237344980239868,3.146977186203003,0.5369053982086068,0,1,Collision,8
209,-14.0,9,7.065990447998047,12.143370628356934,0.535294682013981,0,1,Collision,8
210,-16.0,15,6.190864086151123,10.546586990356445,0.5336887979679391,0,1,Collision,8
211,-16.0,10,8.57418441772461,-2.3163633346557617,0.5320877315740353,0,1,Collision,8
212,-8.0,30,3.8779163360595703,9.833585739135742,0.5304914683793133,0,1,Collision,8
213,-16.0,4,9.598572731018066,14.14734935760498,0.5288999939741753,0,1,Collision,8
214,-17.0,10,25.36912727355957,9.4216947555542,0.5273132939922528,0,1,Collision,8
215,-12.0,85,2.1577396392822266,0.7293297648429871,0.525731354110276,0,1,Collision,8
